Sigma = [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 2.4, 2.6, 2.8, 3.0]

Person_acc = [91.24, 92.01, 92.67, 93.25, 93.76, 94.2, 94.59, 94.93, 95.24, 95.52, 95.77, 96.0, 96.2, 96.39, 96.56, 96.71]

Person_mean_iou = [46.2, 46.21, 46.2, 46.2, 46.2, 46.19, 46.17, 46.16, 46.14, 46.12, 46.1, 46.07, 46.04, 46.0, 45.96, 45.91]


car_acc = [91.69999694824219, 92.2300033569336, 92.7300033569336, 93.18000030517578, 93.58000183105469, 93.95999908447266, 94.27999877929688, 94.58000183105469, 94.8499984741211, 95.08999633789062, 95.30999755859375, 95.5199966430664, 95.72000122070312, 95.87999725341797, 96.04000091552734, 96.18000030517578]

car_mean_iou = [46.2, 46.2, 46.19, 46.18, 46.16, 46.14, 46.13, 46.1, 46.08, 46.06, 46.03, 46.01, 45.98, 45.95, 45.91, 45.88]


tree_acc = [87.94999694824219, 88.86000061035156, 89.68000030517578, 90.41000366210938, 91.05000305175781, 91.62999725341797, 92.1500015258789, 92.61000061035156, 93.02999877929688, 93.41000366210938, 93.75, 94.05999755859375, 94.3499984741211, 94.62000274658203, 94.86000061035156, 95.08999633789062]

tree_mean_iou = [46.2, 46.2, 46.19, 46.18, 46.16, 46.15, 46.13, 46.11, 46.09, 46.06, 46.03, 46.0, 45.97, 45.93, 45.9, 45.85]

bicycle_acc = [75.9000015258789, 77.91000366210938, 79.6500015258789, 81.02999877929688, 82.36000061035156, 83.43000030517578, 84.5199966430664, 85.36000061035156, 86.16000366210938, 86.94999694824219, 87.47000122070312, 88.13999938964844, 88.66000366210938, 89.23999786376953, 89.63999938964844, 90.1500015258789]

bicycle_miou = [46.2, 46.2, 46.2, 46.19, 46.18, 46.17, 46.16, 46.15, 46.13, 46.11, 46.09, 46.07, 46.05, 46.03, 46.0, 45.98]

bus_acc = [92.30000305175781, 92.62000274658203, 92.9000015258789, 93.13999938964844, 93.38999938964844, 93.62000274658203, 93.83999633789062, 94.04000091552734, 94.25, 94.44999694824219, 94.61000061035156, 94.77999877929688, 94.93000030517578, 95.11000061035156, 95.2699966430664, 95.38999938964844]

bus_miou = [46.2, 46.2, 46.2, 46.19, 46.19, 46.18, 46.17, 46.16, 46.15, 46.13, 46.11, 46.09, 46.07, 46.04, 46.01, 45.98]

streetlight_acc = [29.020000457763672, 30.920000076293945, 33.0099983215332, 35.18000030517578, 37.38999938964844, 39.66999816894531, 41.970001220703125, 44.189998626708984, 46.209999084472656, 48.41999816894531, 50.439998626708984, 52.349998474121094, 54.15999984741211, 55.959999084472656, 57.61000061035156, 59.209999084472656]

streetlight_miou = [46.2, 46.21, 46.21, 46.21, 46.21, 46.2, 46.19, 46.18, 46.17, 46.15, 46.13, 46.11, 46.09, 46.07, 46.05, 46.03]


traffic light_acc = [42.220001220703125, 44.599998474121094, 46.970001220703125, 49.02000045776367, 51.20000076293945, 53.130001068115234, 54.849998474121094, 56.66999816894531, 58.5, 60.25, 61.75, 63.16999816894531, 64.62999725341797, 66.05000305175781, 67.33000183105469, 68.5199966430664]

traffic light_miou = [46.2, 46.2, 46.2, 46.2, 46.19, 46.18, 46.17, 46.16, 46.15, 46.13, 46.11, 46.1, 46.08, 46.07, 46.05, 46.04]


